conv_id,domain,row_id,speaker,utterance,sys_act,usr_act,asked_slot,extracted_slots,state_info,state_book,missing_info,missing_book
learned_movie_00000,movie,12,system,"Mình chốt: phim oppenheimer, rạp Lotte, ngày today, giờ 18:30, 1 vé. Đúng không?",CONFIRM(movie),,,,"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
learned_movie_00000,movie,13,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
learned_movie_00001,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,movie,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
learned_movie_00001,movie,1,user,Mình muốn đặt vé phim avatar.,,"{""act"": ""inform"", ""slots"": {""movie"": ""avatar""}}",,"{""movie"": ""avatar""}","{""movie"": ""avatar""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
learned_movie_00001,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""avatar""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
learned_movie_00001,movie,3,user,CGV. 2 vé Mai.,,"{""act"": ""inform"", ""slots"": {""theater"": ""CGV"", ""tickets"": 2, ""date"": ""tomorrow""}}",,"{""date"": ""tomorrow"", ""tickets"": 2, ""theater"": ""CGV""}","{""movie"": ""avatar"", ""theater"": ""CGV""}","{""date"": ""tomorrow"", ""tickets"": 2}",[],"[""time""]"
learned_movie_00001,movie,4,system,Bạn muốn suất mấy giờ? (vd 19:45),REQUEST(movie.time),,time,,"{""movie"": ""avatar"", ""theater"": ""CGV""}","{""date"": ""tomorrow"", ""tickets"": 2}",[],"[""time""]"
learned_movie_00001,movie,5,user,19:45,,"{""act"": ""inform"", ""slots"": {""time"": ""19:45""}}",,"{""time"": ""19:45""}","{""movie"": ""avatar"", ""theater"": ""CGV""}","{""date"": ""tomorrow"", ""tickets"": 2, ""time"": ""19:45""}",[],[]
learned_movie_00001,movie,6,system,"Mình chốt: phim avatar, rạp CGV, ngày tomorrow, giờ 19:45, 2 vé. Đúng không?",CONFIRM(movie),,,,"{""movie"": ""avatar"", ""theater"": ""CGV""}","{""date"": ""tomorrow"", ""tickets"": 2, ""time"": ""19:45""}",[],[]
learned_movie_00001,movie,7,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""movie"": ""avatar"", ""theater"": ""CGV""}","{""date"": ""tomorrow"", ""tickets"": 2, ""time"": ""19:45""}",[],[]
learned_navigation_00002,navigation,0,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00002,navigation,1,user,Đi tới UBND Quận 1.,,"{""act"": ""inform"", ""slots"": {""destination"": ""UBND Quận 1""}}",,"{""destination"": ""UBND Quận 1""}","{""destination"": ""UBND Quận 1""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00002,navigation,2,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""destination"": ""UBND Quận 1""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00002,navigation,3,user,Từ Chợ Bà Chiểu. Đi bộ.,,"{""act"": ""inform"", ""slots"": {""origin"": ""Chợ Bà Chiểu"", ""mode"": ""walk""}}",,"{""origin"": ""Chợ Bà Chiểu""}","{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu""}",{},"[""mode""]",[]
learned_navigation_00002,navigation,4,system,Bạn đi xe máy/ô tô/đi bộ/xe buýt?,REQUEST(navigation.mode),,mode,,"{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu""}",{},"[""mode""]",[]
learned_navigation_00002,navigation,5,user,Đi bộ.,,"{""act"": ""inform"", ""slots"": {""mode"": ""walk""}}",,{},"{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu""}",{},"[""mode""]",[]
learned_navigation_00002,navigation,6,system,Bạn đi xe máy/ô tô/đi bộ/xe buýt?,REQUEST(navigation.mode),,mode,,"{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu""}",{},"[""mode""]",[]
learned_navigation_00002,navigation,7,user,Đi bộ. Đi tới UBND Quận 1.,,"{""act"": ""inform"", ""slots"": {""mode"": ""walk"", ""destination"": ""UBND Quận 1""}}",,"{""mode"": ""walk""}","{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu"", ""mode"": ""walk""}",{},[],[]
learned_navigation_00002,navigation,8,system,"Mình chốt: từ Chợ Bà Chiểu đến UBND Quận 1, đi walk. Đúng không?",CONFIRM(navigation),,,,"{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu"", ""mode"": ""walk""}",{},[],[]
learned_navigation_00002,navigation,9,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu"", ""mode"": ""walk""}",{},[],[]
learned_navigation_00003,navigation,0,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00003,navigation,1,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00003,navigation,2,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00003,navigation,3,user,Tư vấn mua laptop giúp mình?,,"{""act"": ""oos"", ""slots"": {}}",,{},{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00003,navigation,4,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00003,navigation,5,user,Đi tới UBND Quận 1. Từ Chợ Bà Chiểu.,,"{""act"": ""inform"", ""slots"": {""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu""}}",,"{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1""}","{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1""}",{},"[""mode""]",[]
learned_navigation_00003,navigation,6,system,Bạn đi xe máy/ô tô/đi bộ/xe buýt?,REQUEST(navigation.mode),,mode,,"{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1""}",{},"[""mode""]",[]
learned_navigation_00003,navigation,7,user,Ủa alo?,,"{""act"": ""smalltalk"", ""slots"": {}}",,{},"{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1""}",{},"[""mode""]",[]
learned_navigation_00003,navigation,8,system,Bạn đi xe máy/ô tô/đi bộ/xe buýt?,REQUEST(navigation.mode),,mode,,"{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1""}",{},"[""mode""]",[]
learned_navigation_00003,navigation,9,user,Tư vấn mua laptop giúp mình?,,"{""act"": ""oos"", ""slots"": {}}",,{},"{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1""}",{},"[""mode""]",[]
learned_navigation_00003,navigation,10,system,Bạn đi xe máy/ô tô/đi bộ/xe buýt?,REQUEST(navigation.mode),,mode,,"{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1""}",{},"[""mode""]",[]
learned_navigation_00003,navigation,11,user,Đi bus.,,"{""act"": ""inform"", ""slots"": {""mode"": ""bus""}}",,"{""mode"": ""bus""}","{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1"", ""mode"": ""bus""}",{},[],[]
learned_navigation_00003,navigation,12,system,"Mình chốt: từ UBND Quận 1 đến UBND Quận 1, đi bus. Đúng không?",CONFIRM(navigation),,,,"{""destination"": ""UBND Quận 1"", ""origin"": ""UBND Quận 1"", ""mode"": ""bus""}",{},[],[]
learned_navigation_00003,navigation,13,user,"Không đúng, mình sửa lại: Từ Chợ Bà Chiểu.",,"{""act"": ""deny+inform"", ""slots"": {""origin"": ""Chợ Bà Chiểu""}}",,"{""origin"": ""Chợ Bà Chiểu""}","{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu"", ""mode"": ""bus""}",{},[],[]
learned_navigation_00003,navigation,14,system,"Mình chốt: từ Chợ Bà Chiểu đến UBND Quận 1, đi bus. Đúng không?",CONFIRM(navigation),,,,"{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu"", ""mode"": ""bus""}",{},[],[]
learned_navigation_00003,navigation,15,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""destination"": ""UBND Quận 1"", ""origin"": ""Chợ Bà Chiểu"", ""mode"": ""bus""}",{},[],[]
learned_navigation_00004,navigation,0,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,1,user,Cho mình hỏi chút.,,"{""act"": ""smalltalk"", ""slots"": {}}",,{},{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,2,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,3,user,Đi tới Landmark 81.,,"{""act"": ""inform"", ""slots"": {""destination"": ""Landmark 81""}}",,{},{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,4,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,5,user,Ok ok.,,"{""act"": ""smalltalk"", ""slots"": {}}",,{},{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,6,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,7,user,Đi tới Landmark 81.,,"{""act"": ""inform"", ""slots"": {""destination"": ""Landmark 81""}}",,{},{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,8,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00004,navigation,9,user,Đi tới Landmark 81. Đi bus. Từ City Hall.,,"{""act"": ""inform"", ""slots"": {""destination"": ""Landmark 81"", ""mode"": ""bus"", ""origin"": ""City Hall""}}",,"{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}","{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}",{},[],[]
learned_navigation_00004,navigation,10,system,"Mình chốt: từ City Hall đến City Hall, đi bus. Đúng không?",CONFIRM(navigation),,,,"{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}",{},[],[]
learned_navigation_00004,navigation,11,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}",{},[],[]
learned_navigation_00004,navigation,12,system,"Mình chốt: từ City Hall đến City Hall, đi bus. Đúng không?",CONFIRM(navigation),,,,"{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}",{},[],[]
learned_navigation_00004,navigation,13,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}",{},[],[]
learned_navigation_00004,navigation,14,system,"Mình chốt: từ City Hall đến City Hall, đi bus. Đúng không?",CONFIRM(navigation),,,,"{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}",{},[],[]
learned_navigation_00004,navigation,15,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""mode"": ""bus"", ""destination"": ""City Hall"", ""origin"": ""City Hall""}",{},[],[]
learned_navigation_00005,navigation,0,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00005,navigation,1,user,Đi tới Landmark 81.,,"{""act"": ""inform"", ""slots"": {""destination"": ""Landmark 81""}}",,"{""destination"": ""Landmark 81""}","{""destination"": ""Landmark 81""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00005,navigation,2,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""destination"": ""Landmark 81""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00005,navigation,3,user,Từ Central Station.,,"{""act"": ""inform"", ""slots"": {""origin"": ""Central Station""}}",,"{""origin"": ""Central Station""}","{""destination"": ""Landmark 81"", ""origin"": ""Central Station""}",{},"[""mode""]",[]
learned_navigation_00005,navigation,4,system,Bạn đi xe máy/ô tô/đi bộ/xe buýt?,REQUEST(navigation.mode),,mode,,"{""destination"": ""Landmark 81"", ""origin"": ""Central Station""}",{},"[""mode""]",[]
learned_navigation_00005,navigation,5,user,Đi ô tô.,,"{""act"": ""inform"", ""slots"": {""mode"": ""car""}}",,"{""mode"": ""car""}","{""destination"": ""Landmark 81"", ""origin"": ""Central Station"", ""mode"": ""car""}",{},[],[]
learned_navigation_00005,navigation,6,system,"Mình chốt: từ Central Station đến Landmark 81, đi car. Đúng không?",CONFIRM(navigation),,,,"{""destination"": ""Landmark 81"", ""origin"": ""Central Station"", ""mode"": ""car""}",{},[],[]
learned_navigation_00005,navigation,7,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""destination"": ""Landmark 81"", ""origin"": ""Central Station"", ""mode"": ""car""}",{},[],[]
learned_movie_00006,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,movie,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
learned_movie_00006,movie,1,user,Mình muốn đặt vé phim oppenheimer.,,"{""act"": ""inform"", ""slots"": {""movie"": ""oppenheimer""}}",,"{""movie"": ""oppenheimer""}","{""movie"": ""oppenheimer""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
learned_movie_00006,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""oppenheimer""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
learned_movie_00006,movie,3,user,Galaxy.,,"{""act"": ""inform"", ""slots"": {""theater"": ""Galaxy""}}",,"{""theater"": ""Galaxy""}","{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}",{},[],"[""date"", ""time"", ""tickets""]"
learned_movie_00006,movie,4,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,date,,"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}",{},[],"[""date"", ""time"", ""tickets""]"
learned_movie_00006,movie,5,user,Cuối tuần.,,"{""act"": ""inform"", ""slots"": {""date"": ""weekend""}}",,"{""date"": ""weekend""}","{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
learned_movie_00006,movie,6,system,Bạn muốn suất mấy giờ? (vd 19:45),REQUEST(movie.time),,time,,"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
learned_movie_00006,movie,7,user,21:10,,"{""act"": ""inform"", ""slots"": {""time"": ""21:10""}}",,"{""time"": ""21:10""}","{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""weekend"", ""time"": ""21:10""}",[],"[""tickets""]"
learned_movie_00006,movie,8,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,tickets,,"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""weekend"", ""time"": ""21:10""}",[],"[""tickets""]"
learned_movie_00006,movie,9,user,4 vé,,"{""act"": ""inform"", ""slots"": {""tickets"": 4}}",,"{""tickets"": 4}","{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""weekend"", ""time"": ""21:10"", ""tickets"": 4}",[],[]
learned_movie_00006,movie,10,system,"Mình chốt: phim oppenheimer, rạp Galaxy, ngày weekend, giờ 21:10, 4 vé. Đúng không?",CONFIRM(movie),,,,"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""weekend"", ""time"": ""21:10"", ""tickets"": 4}",[],[]
learned_movie_00006,movie,11,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""weekend"", ""time"": ""21:10"", ""tickets"": 4}",[],[]
learned_navigation_00007,navigation,0,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00007,navigation,1,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00007,navigation,2,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00007,navigation,3,user,Đi tới Bến Thành.,,"{""act"": ""inform"", ""slots"": {""destination"": ""Bến Thành""}}",,"{""destination"": ""Bến Thành""}","{""destination"": ""Bến Thành""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00007,navigation,4,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""destination"": ""Bến Thành""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00007,navigation,5,user,Từ Landmark 81.,,"{""act"": ""inform"", ""slots"": {""origin"": ""Landmark 81""}}",,"{""origin"": ""Landmark 81""}","{""destination"": ""Bến Thành"", ""origin"": ""Landmark 81""}",{},"[""mode""]",[]
learned_navigation_00007,navigation,6,system,Bạn đi xe máy/ô tô/đi bộ/xe buýt?,REQUEST(navigation.mode),,mode,,"{""destination"": ""Bến Thành"", ""origin"": ""Landmark 81""}",{},"[""mode""]",[]
learned_navigation_00007,navigation,7,user,Đi xe máy.,,"{""act"": ""inform"", ""slots"": {""mode"": ""motorbike""}}",,"{""mode"": ""motorbike""}","{""destination"": ""Bến Thành"", ""origin"": ""Landmark 81"", ""mode"": ""motorbike""}",{},[],[]
learned_navigation_00007,navigation,8,system,"Mình chốt: từ Landmark 81 đến Bến Thành, đi motorbike. Đúng không?",CONFIRM(navigation),,,,"{""destination"": ""Bến Thành"", ""origin"": ""Landmark 81"", ""mode"": ""motorbike""}",{},[],[]
learned_navigation_00007,navigation,9,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""destination"": ""Bến Thành"", ""origin"": ""Landmark 81"", ""mode"": ""motorbike""}",{},[],[]
learned_navigation_00008,navigation,0,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00008,navigation,1,user,Đi tới Chợ Bà Chiểu. Đi ô tô. Từ Bến Thành.,,"{""act"": ""inform"", ""slots"": {""destination"": ""Chợ Bà Chiểu"", ""mode"": ""car"", ""origin"": ""Bến Thành""}}",,"{""mode"": ""car"", ""destination"": ""Bến Thành""}","{""mode"": ""car"", ""destination"": ""Bến Thành""}",{},"[""origin""]",[]
learned_navigation_00008,navigation,2,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""mode"": ""car"", ""destination"": ""Bến Thành""}",{},"[""origin""]",[]
learned_navigation_00008,navigation,3,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},"{""mode"": ""car"", ""destination"": ""Bến Thành""}",{},"[""origin""]",[]
learned_navigation_00008,navigation,4,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""mode"": ""car"", ""destination"": ""Bến Thành""}",{},"[""origin""]",[]
learned_navigation_00008,navigation,5,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},"{""mode"": ""car"", ""destination"": ""Bến Thành""}",{},"[""origin""]",[]
learned_navigation_00008,navigation,6,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""mode"": ""car"", ""destination"": ""Bến Thành""}",{},"[""origin""]",[]
learned_navigation_00008,navigation,7,user,Từ Bến Thành.,,"{""act"": ""inform"", ""slots"": {""origin"": ""Bến Thành""}}",,"{""origin"": ""Bến Thành""}","{""mode"": ""car"", ""destination"": ""Bến Thành"", ""origin"": ""Bến Thành""}",{},[],[]
learned_navigation_00008,navigation,8,system,"Mình chốt: từ Bến Thành đến Bến Thành, đi car. Đúng không?",CONFIRM(navigation),,,,"{""mode"": ""car"", ""destination"": ""Bến Thành"", ""origin"": ""Bến Thành""}",{},[],[]
learned_navigation_00008,navigation,9,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""mode"": ""car"", ""destination"": ""Bến Thành"", ""origin"": ""Bến Thành""}",{},[],[]
learned_navigation_00008,navigation,10,system,"Mình chốt: từ Bến Thành đến Bến Thành, đi car. Đúng không?",CONFIRM(navigation),,,,"{""mode"": ""car"", ""destination"": ""Bến Thành"", ""origin"": ""Bến Thành""}",{},[],[]
learned_navigation_00008,navigation,11,user,"Không đúng, mình sửa lại: Đi tới Chợ Bà Chiểu.",,"{""act"": ""deny+inform"", ""slots"": {""destination"": ""Chợ Bà Chiểu""}}",,"{""destination"": ""Chợ Bà Chiểu""}","{""mode"": ""car"", ""destination"": ""Chợ Bà Chiểu"", ""origin"": ""Bến Thành""}",{},[],[]
learned_navigation_00008,navigation,12,system,"Mình chốt: từ Bến Thành đến Chợ Bà Chiểu, đi car. Đúng không?",CONFIRM(navigation),,,,"{""mode"": ""car"", ""destination"": ""Chợ Bà Chiểu"", ""origin"": ""Bến Thành""}",{},[],[]
learned_navigation_00008,navigation,13,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""mode"": ""car"", ""destination"": ""Chợ Bà Chiểu"", ""origin"": ""Bến Thành""}",{},[],[]
learned_navigation_00009,navigation,0,system,Bạn muốn đi tới đâu?,REQUEST(navigation.destination),,destination,,{},{},"[""origin"", ""destination"", ""mode""]",[]
learned_navigation_00009,navigation,1,user,Đi tới Chợ Bà Chiểu.,,"{""act"": ""inform"", ""slots"": {""destination"": ""Chợ Bà Chiểu""}}",,"{""destination"": ""Chợ Bà Chiểu""}","{""destination"": ""Chợ Bà Chiểu""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00009,navigation,2,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""destination"": ""Chợ Bà Chiểu""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00009,navigation,3,user,Cho mình hỏi chút.,,"{""act"": ""smalltalk"", ""slots"": {}}",,{},"{""destination"": ""Chợ Bà Chiểu""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00009,navigation,4,system,Bạn đang ở đâu (điểm xuất phát)?,REQUEST(navigation.origin),,origin,,"{""destination"": ""Chợ Bà Chiểu""}",{},"[""origin"", ""mode""]",[]
learned_navigation_00009,navigation,5,user,Từ UBND Quận 1. Đi tới Chợ Bà Chiểu. Đi bộ.,,"{""act"": ""inform"", ""slots"": {""origin"": ""UBND Quận 1"", ""destination"": ""Chợ Bà Chiểu"", ""mode"": ""walk""}}",,"{""mode"": ""walk"", ""origin"": ""UBND Quận 1"", ""destination"": ""UBND Quận 1""}","{""destination"": ""UBND Quận 1"", ""mode"": ""walk"", ""origin"": ""UBND Quận 1""}",{},[],[]
learned_navigation_00009,navigation,6,system,"Mình chốt: từ UBND Quận 1 đến UBND Quận 1, đi walk. Đúng không?",CONFIRM(navigation),,,,"{""destination"": ""UBND Quận 1"", ""mode"": ""walk"", ""origin"": ""UBND Quận 1""}",{},[],[]
learned_navigation_00009,navigation,7,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",,{},"{""destination"": ""UBND Quận 1"", ""mode"": ""walk"", ""origin"": ""UBND Quận 1""}",{},[],[]
learned_navigation_00009,navigation,8,system,"Mình chốt: từ UBND Quận 1 đến UBND Quận 1, đi walk. Đúng không?",CONFIRM(navigation),,,,"{""destination"": ""UBND Quận 1"", ""mode"": ""walk"", ""origin"": ""UBND Quận 1""}",{},[],[]
